Time_s,C3_Left_V,C3_Right_V,C4_Left_V,C4_Right_V
0.228,1.3290395199571807e-06,1.3450906905129792e-06,1.4824032076270581e-06,2.2071878302363014e-06
0.232,3.4305002001429173e-07,1.9416767148586703e-06,8.391862309177162e-07,2.9510700457396254e-06
0.236,-4.1144957294155423e-07,2.1712203963600533e-06,2.756029973033811e-07,3.012863106013284e-06
0.24,-8.942035618426e-07,1.8972801702929746e-06,-2.774520735136035e-07,2.2923822012310397e-06
0.244,-1.2010172419718267e-06,1.2082911302309435e-06,-8.883764877491817e-07,1.007854942399659e-06
0.248,-1.4642130392794767e-06,3.6615974885103314e-07,-1.5422772132392282e-06,-4.101503961343415e-07
0.252,-1.7542958782154176e-06,-3.3185064070575763e-07,-2.125422008027924e-06,-1.5171327457576226e-06
0.256,-2.0379879281341053e-06,-6.944944159364826e-07,-2.4841158312491793e-06,-2.0388477901866566e-06
0.26,-2.205047783474196e-06,-7.049176218074741e-07,-2.513272571380213e-06,-1.9535229574079605e-06
0.264,-2.138267920610486e-06,-4.896018900285535e-07,-2.213147811088128e-06,-1.4477573083431878e-06
0.268,-1.782353995904024e-06,-2.2146607275461948e-07,-1.6808757358707813e-06,-7.908317470632948e-07
0.272,-1.1720027922596452e-06,-2.0397749411274837e-08,-1.0438727015981927e-06,-2.0413447557828898e-07
0.276,-4.1152130864885816e-07,9.107203825568402e-08,-3.8396677883946595e-07,2.068180383180997e-07
0.28,3.7277301092168496e-07,1.6054097029283854e-07,2.908739273217512e-07,4.384813049679207e-07
0.284,1.0756588406794298e-06,2.4252842535655703e-07,1.0124884250832935e-06,5.303097188740606e-07
0.288,1.6323827210468565e-06,3.4630810721531286e-07,1.7822303078355016e-06,5.086232108761808e-07
0.292,2.008472603604179e-06,4.244264859182896e-07,2.5154743372974346e-06,3.6692767535729046e-07
0.296,2.1805637364218233e-06,3.992788045923515e-07,3.0490237866869476e-06,8.454338211103129e-08
0.3,2.1266546688828576e-06,2.0402203635181185e-07,3.211627307918654e-06,-3.4075178365313486e-07
0.304,1.8313166622644136e-06,-1.9037780352015874e-07,2.9128148276723815e-06,-8.72403436568266e-07
0.308,1.3067250134406542e-06,-7.695992304065759e-07,2.1969736688109477e-06,-1.4380044029605365e-06
0.312,6.091629897988264e-07,-1.483497266138252e-06,1.2221556583385438e-06,-1.9497005742678465e-06
0.316,-1.58679974458462e-07,-2.246939398132852e-06,1.8344880903097712e-07,-2.3204316282048856e-06
0.32,-8.651698391237624e-07,-2.931088808784008e-06,-7.726397521346364e-07,-2.468197565816246e-06
0.324,-1.383871059773733e-06,-3.3620483953024662e-06,-1.5898493029752624e-06,-2.3138353799650254e-06
0.328,-1.6327884220692869e-06,-3.3519688927027215e-06,-2.280764715233171e-06,-1.7922197990690701e-06
0.332,-1.6003095853088768e-06,-2.7687727698115523e-06,-2.858437007440828e-06,-8.858170684444302e-07
0.336,-1.3500225709231447e-06,-1.6169621981698225e-06,-3.2771929570514453e-06,3.3435640259685855e-07
0.34,-1.0012402894981972e-06,-8.416098771231937e-08,-3.4287317483814273e-06,1.6847801696848955e-06
0.344,-6.885684866525271e-07,1.4843185870104527e-06,-3.1973275462924424e-06,2.886229906920767e-06
0.348,-5.089920041062352e-07,2.6918528089419272e-06,-2.53518615605866e-06,3.633142744906079e-06
0.352,-4.823665869597864e-07,3.2418722258791535e-06,-1.5146077604723927e-06,3.7000438240108804e-06
0.356,-5.471539900231533e-07,3.0604450335467514e-06,-3.245468482858663e-07,3.0398864385232318e-06
0.36,-5.940406862184109e-07,2.3298498548824554e-06,7.895723990474074e-07,1.8272361132611918e-06
0.364,-5.272834750113708e-07,1.4103818749414273e-06,1.6107632988946779e-06,4.20558667989319e-07
0.368,-3.14714633850315e-07,6.831985396436846e-07,2.0248391862216737e-06,-7.521715403592345e-07
0.372,-4.869365099223723e-09,3.8990724481650094e-07,2.0482074462054714e-06,-1.3442825484023144e-06
0.376,2.9841800496334477e-07,5.453384189430039e-07,1.8024712658331437e-06,-1.218974315727755e-06
0.38,4.945246601553476e-07,9.603572133291878e-07,1.4584792302775783e-06,-5.015181313629448e-07
0.384,5.429018335442365e-07,1.3534266382662562e-06,1.1738862508083146e-06,4.688641514787656e-07
0.388,4.838108843528548e-07,1.4882308396328913e-06,1.0431526316945702e-06,1.270843695216361e-06
0.392,4.0839590508482696e-07,1.2696963817232533e-06,1.07241783190529e-06,1.5654017950036703e-06
0.396,3.936360165984635e-07,7.607792544892505e-07,1.1769673234157495e-06,1.2267105140668329e-06
0.4,4.4994500317579746e-07,1.2397988541723356e-07,1.2107688370179601e-06,3.8236329982303793e-07
0.404,5.132268952066088e-07,-4.7132000125782753e-07,1.024167075024523e-06,-6.534607942460496e-07
0.408,4.947920519151107e-07,-9.242560876076734e-07,5.403115951643395e-07,-1.5247719429514523e-06
0.412,3.5570595534760537e-07,-1.227959906127313e-06,-1.830526422811539e-07,-1.9905634125562274e-06
0.416,1.5523577166213335e-07,-1.443313158740825e-06,-9.435675959360575e-07,-2.0207691063431955e-06
0.42,3.87935794913746e-08,-1.6414182517614084e-06,-1.4510430111037685e-06,-1.7829737990756526e-06
0.424,1.6030957630457863e-07,-1.8512734767510816e-06,-1.4460749872333648e-06,-1.5303042512464384e-06
0.428,5.773582545347793e-07,-2.0413567037441026e-06,-8.359518069733688e-07,-1.455263531357824e-06
0.432,1.1812309710013398e-06,-2.135733984677835e-06,2.2262620662826083e-07,-1.583857868432518e-06
0.436,1.713387198206382e-06,-2.0532390515904484e-06,1.3495846751003916e-06,-1.766246885160179e-06
0.44,1.8730169139472485e-06,-1.7495565486447798e-06,2.082568727143376e-06,-1.7678573793296092e-06
0.444,1.4590411199165933e-06,-1.2435575488329462e-06,2.069201982423644e-06,-1.408399872881296e-06
0.448,4.807386840371794e-07,-6.207737489457591e-07,1.2295968025240448e-06,-6.720260002597622e-07
0.452,-8.279740506183781e-07,-1.1576564820538035e-08,-1.9726730729808616e-07,2.7254443080099396e-07
0.456,-2.1049538409079914e-06,4.492759184414248e-07,-1.7545303114487888e-06,1.1524572462912723e-06
0.46,-3.0104019780366136e-06,6.643530865122539e-07,-2.959074245524317e-06,1.721783234073226e-06
0.464,-3.3643888468262988e-06,6.066141285393789e-07,-3.4992015989426515e-06,1.8729720312063505e-06
0.468,-3.2030589669556364e-06,3.3622269291624036e-07,-3.3425474393489378e-06,1.6724021577754453e-06
0.472,-2.7278910042508617e-06,-1.2308496947706392e-08,-2.705848867864701e-06,1.3072306261832053e-06
0.476,-2.1817666751203006e-06,-2.6837484690172276e-07,-1.915393320845689e-06,9.821632657742384e-07
0.48,-1.7138741778192344e-06,-2.789000381660342e-07,-1.230947726667752e-06,8.25234302689175e-07
0.484,-1.3156791522893216e-06,3.6913897466070065e-08,-7.362837293559074e-07,8.468939407323595e-07
0.488,-8.465805807378077e-07,6.562062847981808e-07,-3.365336064606638e-07,9.67719809419646e-07
0.492,-1.384322502067231e-07,1.4556780329344171e-06,1.4395932360910545e-07,1.0825642725024453e-06
0.496,8.760845151503466e-07,2.24681571929961e-06,8.235923635791417e-07,1.1178703458075316e-06
0.5,2.087136594756927e-06,2.830357539454837e-06,1.6706941385100407e-06,1.0503785370735135e-06
0.504,3.2172286627837468e-06,3.051560254675087e-06,2.497787868767797e-06,8.880645934591687e-07
0.508,3.926711851354582e-06,2.837667719488864e-06,3.0495039196203713e-06,6.383844074989885e-07
0.512,3.96431027155856e-06,2.21047603419203e-06,3.131838021759531e-06,2.931425910210013e-07
0.516,3.2869153423236506e-06,1.2738378939310786e-06,2.7094114645597803e-06,-1.5834799960039713e-07
0.52,2.090942203494496e-06,1.868862877659258e-07,1.9230459529477577e-06,-6.971833914384712e-07
0.524,7.366298167036409e-07,-8.663226984844711e-07,1.0256083976266778e-06,-1.2498765670781419e-06
0.528,-4.033466538882434e-07,-1.7092619920524765e-06,2.6927506547604033e-07,-1.696849569033802e-06
0.532,-1.0990858039141597e-06,-2.208223968637224e-06,-1.9599207513072506e-07,-1.915796484789906e-06
0.536,-1.3450237276482104e-06,-2.306345444738369e-06,-3.632001900241219e-07,-1.838150573529581e-06
0.54,-1.328912992467597e-06,-2.04842279443503e-06,-3.410960488930652e-07,-1.4878053815342545e-06
0.544,-1.3043143784890133e-06,-1.579692555719772e-06,-2.812219164865477e-07,-9.775562937352048e-07
0.548,-1.4352610463584133e-06,-1.1072540353676415e-06,-3.0053265043412745e-07,-4.6410892487324296e-07
